S._No.,State,District,Block,Latitude,Longitude,Year,pH,EC_in_μS/cm,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,EC_TDS_ratio,Hardness_Class,pH_safe,NO3_safe,F_safe
1,Himachal Pradesh,Solan,Nallagarh,31.1594,76.6785,2019,8.44,299.0,0.0,87.0,21.0,31.9,2.7,0.0,84.0,17.0,10.0,39.0,2.4,0.2,456.0,18.0,0.6542669584245077,1,1,1,1
2,Himachal Pradesh,Solan,Nallagarh,31.154,76.6384,2019,8.4,270.0,0.0,87.0,14.0,31.9,10.0,0.0,116.0,10.0,18.0,23.0,1.0,0.12,456.0,18.0,0.5908096280087527,1,1,1,1
3,Himachal Pradesh,Solan,Nallagarh,31.1651,76.6082,2019,8.4,318.0,0.0,87.0,21.0,31.9,13.0,0.0,116.0,10.0,18.0,28.0,2.5,0.15,456.0,18.0,0.6958424507658644,1,1,1,1
4,Himachal Pradesh,Solan,Nallagarh,31.02,76.65,2019,8.12,715.0,0.0,131.0,134.0,21.0,52.0,0.0,200.0,38.0,26.0,68.0,4.0,0.14,456.0,18.0,1.5645514223194747,2,1,0,1
5,Himachal Pradesh,Kangra,Nurpur,32.28,75.7914,2019,8.12,277.0,0.0,171.0,14.0,31.9,10.0,0.0,110.0,28.0,9.7,26.0,2.01,0.22,456.0,18.0,0.6061269146608315,1,1,1,1
6,Himachal Pradesh,Kangra,Nurpur,32.2796,75.8408,2019,8.45,330.0,0.0,122.0,21.0,31.9,21.0,0.0,140.0,24.0,19.0,23.0,1.99,0.16,456.0,18.0,0.7221006564551422,1,1,1,1
7,Himachal Pradesh,Kangra,Indora,32.2157,75.6687,2019,8.18,377.0,0.0,146.0,42.0,31.9,23.0,0.0,120.0,32.0,9.7,35.0,4.9,0.15,456.0,18.0,0.824945295404814,1,1,1,1
8,Himachal Pradesh,Kangra,Kangra,32.0042,76.2299,2019,8.45,310.0,0.0,159.0,28.0,31.9,7.2,0.0,110.0,32.0,7.3,24.0,0.5,0.3,456.0,18.0,0.6783369803063457,1,1,1,1
9,Himachal Pradesh,Kangra,Kangra,32.1067,76.2752,2019,8.47,275.0,0.0,110.0,21.0,31.9,20.0,0.0,110.0,28.0,26.77,22.0,2.2,0.15,456.0,18.0,0.6017505470459519,1,1,1,1
10,Himachal Pradesh,Kangra,Kangra,32.0503,76.2538,2019,8.25,307.0,0.0,134.0,21.0,31.9,23.0,0.0,130.0,28.0,15.0,16.0,0.5,0.12,456.0,18.0,0.6717724288840262,1,1,1,1
11,Himachal Pradesh,Kangra,Baijnath,32.0536,76.6338,2019,7.72,200.0,0.0,85.0,21.0,31.9,15.0,0.0,70.0,24.0,26.77,20.0,3.9,0.32,456.0,18.0,0.437636761487965,0,1,1,1
12,Himachal Pradesh,Kangra,Dehra gopipur,31.7921,76.3342,2019,8.32,630.0,0.0,159.0,83.0,10.0,32.0,0.0,180.0,36.0,22.0,57.0,1.9,0.15,456.0,18.0,1.3785557986870898,2,1,1,1
13,Himachal Pradesh,Kangra,Nurpur,32.2603,76.0106,2019,8.4,312.0,0.0,171.0,21.0,31.9,1.6,0.0,130.0,40.0,7.3,28.0,1.0,0.17,456.0,18.0,0.6827133479212254,1,1,1,1
14,Himachal Pradesh,Kangra,Indora,32.1369,75.6894,2019,8.5,400.0,0.0,171.0,21.0,5.0,7.7,0.0,140.0,28.0,17.0,55.0,2.3,0.25,456.0,18.0,0.87527352297593,1,1,1,1
15,Himachal Pradesh,Kangra,Indora,32.0388,75.7192,2019,8.32,415.0,0.0,171.0,28.0,31.9,36.0,0.0,150.0,32.0,17.0,26.0,19.0,0.1,456.0,18.0,0.9080962800875274,1,1,1,1
16,Himachal Pradesh,Kangra,Rakkar,31.7839,76.2956,2019,8.3,385.0,0.0,159.0,35.0,31.9,3.3,0.0,150.0,44.0,9.7,32.0,1.5,0.15,456.0,18.0,0.8424507658643327,1,1,1,1
17,Himachal Pradesh,Kangra,Kangra,32.1068,76.4111,2019,8.0,150.0,0.0,61.0,20.0,31.9,7.3,0.0,50.0,16.0,26.77,16.0,0.5,0.1,456.0,18.0,0.3282275711159737,0,1,1,1
18,Himachal Pradesh,Kangra,Indora,32.1622,75.9909,2019,8.35,345.0,0.0,146.0,27.0,31.9,24.0,0.0,120.0,24.0,15.0,28.0,14.0,0.12,456.0,18.0,0.7549234135667396,1,1,1,1
19,Himachal Pradesh,Kangra,Kangra,32.0934,76.2645,2019,8.47,362.0,0.0,110.0,13.0,12.0,16.0,0.0,160.0,40.0,15.0,25.0,1.5,0.14,456.0,18.0,0.7921225382932167,2,1,1,1
20,Himachal Pradesh,Kangra,Kang-Palmpur,31.9667,76.5382,2019,8.2,255.0,0.0,134.0,21.0,20.0,1.0,0.0,120.0,28.0,19.0,17.0,8.9,0.14,456.0,18.0,0.5579868708971554,1,1,1,1
21,Himachal Pradesh,KANGRA,Nurpur,32.3572,75.8614,2019,8.32,200.0,0.0,85.0,6.7,31.9,1.7,0.0,100.0,24.0,9.7,12.0,0.5,0.22,456.0,18.0,0.437636761487965,1,1,1,1
22,Himachal Pradesh,KANGRA,Nurpur,32.2869,75.8697,2019,8.6,795.0,0.0,232.0,57.0,31.9,58.0,0.0,290.0,56.0,36.0,48.0,20.0,0.3,456.0,18.0,1.7396061269146608,2,0,0,1
23,Himachal Pradesh,Kangra,Indaura,32.1713,75.6954,2019,8.4,255.0,0.0,110.0,14.0,31.9,4.1,0.0,110.0,12.0,19.0,21.0,1.3,0.18,456.0,18.0,0.5579868708971554,1,1,1,1
24,Himachal Pradesh,KANGRA,Jawali,32.254,75.8865,2019,7.9,195.0,0.0,146.0,6.7,31.9,5.2,0.0,100.0,24.0,9.7,17.0,0.5,0.15,456.0,18.0,0.42669584245076586,1,1,1,1
25,Himachal Pradesh,KANGRA,Jawali,32.1627,75.9638,2019,8.38,315.0,0.0,146.0,11.0,31.9,10.0,0.0,130.0,44.0,26.77,18.0,2.6,0.15,456.0,18.0,0.6892778993435449,1,1,1,1
26,Himachal Pradesh,KANGRA,Indora,32.2363,76.0483,2019,8.48,300.0,0.0,159.0,13.0,31.9,9.1,0.0,140.0,12.0,27.0,26.0,2.0,0.14,456.0,18.0,0.6564551422319475,1,1,1,1
27,Himachal Pradesh,Kangra,Indaura,31.9729,75.903,2019,8.4,480.0,0.0,134.0,42.0,24.0,22.0,0.0,180.0,24.0,29.0,30.0,8.0,0.16,456.0,18.0,1.0503282275711159,2,1,1,1
28,Himachal Pradesh,MANDI,Mandi,31.66,76.95,2019,8.18,244.0,0.0,102.0,28.0,31.9,14.0,0.0,84.0,29.0,26.77,18.0,6.0,0.48,456.0,18.0,0.5339168490153173,1,1,1,1
29,Himachal Pradesh,MANDI,Sundernagar,31.5789,76.9134,2019,8.15,522.0,0.0,189.0,50.0,29.0,11.0,0.0,158.0,29.0,20.0,37.0,14.0,0.17,456.0,18.0,1.1422319474835887,2,1,1,1
30,Himachal Pradesh,MANDI,Mandi,31.5886,76.9451,2019,8.04,1052.0,0.0,102.0,156.0,157.0,72.0,0.0,347.0,76.0,38.0,75.0,6.8,0.1,456.0,18.0,2.3019693654266957,3,1,0,1
31,Himachal Pradesh,MANDI,Sundernagar,31.5515,76.8959,2019,8.45,396.0,0.0,116.0,35.0,31.9,8.7,0.0,168.0,42.0,15.0,21.0,2.3,0.14,456.0,18.0,0.8665207877461707,2,1,1,1
32,Himachal Pradesh,MANDI,Aut,31.8347,77.1716,2019,8.09,367.0,0.0,116.0,35.0,31.9,42.0,0.0,147.0,38.0,13.0,13.0,3.9,0.17,456.0,18.0,0.8030634573304157,1,1,1,1
33,Himachal Pradesh,MANDI,Bahl,31.5648,76.9241,2019,8.42,445.0,0.0,102.0,43.0,31.9,22.0,0.0,179.0,29.0,26.0,25.0,1.7,0.13,456.0,18.0,0.973741794310722,2,1,1,1
34,Himachal Pradesh,HAMIRPUR,Nadaun,31.6864,76.4244,2019,8.04,361.0,0.0,218.0,28.0,31.9,1.7,0.0,189.0,55.0,13.0,11.0,1.6,0.18,456.0,18.0,0.7899343544857768,2,1,1,1
35,Himachal Pradesh,HAMIRPUR,Nadaun,31.6146,76.4747,2019,8.46,350.0,0.0,87.0,21.0,31.9,6.9,0.0,168.0,51.0,10.0,10.0,6.1,0.13,456.0,18.0,0.7658643326039387,2,1,1,1
36,Himachal Pradesh,Kullu,Kullu,31.6573,77.1312,2019,8.18,378.0,0.0,102.0,35.0,31.9,61.0,0.0,158.0,38.0,15.0,11.0,5.0,0.07,456.0,18.0,0.8271334792122538,2,1,0,1
37,Himachal Pradesh,kullu,Kullu,31.9648,77.1153,2019,8.53,470.0,0.0,175.0,35.0,31.9,48.0,0.0,177.0,63.0,8.4,36.0,12.0,0.12,456.0,18.0,1.0284463894967177,2,0,0,1
38,Himachal Pradesh,CHAMBA,Bhattiyat,32.2335,76.1443,2019,8.36,215.0,0.0,87.0,14.0,31.9,2.8,0.0,105.0,21.0,13.0,7.0,0.5,0.1,456.0,18.0,0.47045951859956237,1,1,1,1
39,Himachal Pradesh,SIRMOUR,Kala Amb,30.5261,77.1944,2019,8.37,320.0,0.0,102.0,21.0,31.9,17.0,0.0,137.0,51.0,26.77,13.0,4.2,0.22,456.0,18.0,0.700218818380744,1,1,1,1
40,Himachal Pradesh,SIRMOUR,Paonta Valley,30.4791,77.5444,2019,8.55,492.0,0.0,131.0,28.0,31.9,10.0,0.0,242.0,63.0,20.0,13.0,2.4,0.1,456.0,18.0,1.0765864332603938,2,0,1,1
41,Himachal Pradesh,SIRMOUR,Paonta Valley,30.5385,77.2524,2019,8.36,481.0,0.0,102.0,43.0,31.9,51.0,0.0,189.0,21.0,33.0,24.0,1.0,0.18,456.0,18.0,1.052516411378556,2,1,0,1
42,Himachal Pradesh,SIRMOUR,Paonta sahib,30.473,77.5489,2019,8.0,142.0,0.0,103.0,14.0,31.9,5.7,0.0,63.0,13.0,7.7,18.0,2.5,0.07,456.0,18.0,0.31072210065645517,0,1,1,1
43,Himachal Pradesh,SIRMOUR,Paonta sahib,30.4977,77.4409,2019,7.93,413.0,0.0,145.0,21.0,43.0,27.0,0.0,179.0,46.0,15.0,13.0,2.6,0.08,456.0,18.0,0.9037199124726477,2,1,1,1
44,Himachal Pradesh,SIRMOUR,Paonta sahib,30.4977,77.4409,2019,8.22,205.0,0.0,145.0,7.0,31.9,18.0,0.0,105.0,25.0,10.0,16.0,0.5,0.08,456.0,18.0,0.4485776805251641,1,1,1,1
45,Himachal Pradesh,SIRMOUR,Paonta sahib,30.486,77.5228,2019,8.45,284.0,0.0,102.0,7.0,31.9,83.64,0.0,147.0,38.0,13.0,16.0,1.0,0.12,456.0,18.0,0.6214442013129103,1,1,0,1
46,Himachal Pradesh,SIRMOUR,Paonta sahib,30.5016,77.4733,2019,8.22,345.0,0.0,116.0,21.0,31.9,55.0,0.0,147.0,38.0,13.0,12.0,1.6,0.09,456.0,18.0,0.7549234135667396,1,1,0,1
